index,school,name,team,citystate,type,subdivision,conference,profile_url,logo,football_stadium,baseball_stadium,basketball_stadium,softball_stadium,soccer_stadium,volleyball_stadium,ice_hockey_stadium,other_stadiums,color_hex
Seattle University,Seattle[N 8],Redhawks,Seattle,WA,Private,Non-football,West Coast Conference,https://en.wikipedia.org/wiki/Seattle_Redhawks,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Seattle_redhawks_ncaa_logo.png/250px-Seattle_redhawks_ncaa_logo.png,,Bannerwood Park,Redhawk Center and Climate Pledge Arena,Logan Field at SU Park,,,,,"['#AA0000', '#FFFFFF']"
Seton Hall University,Seton Hall,Pirates,South Orange,NJ,Private,Non-football,Big East Conference,https://en.wikipedia.org/wiki/Seton_Hall_Pirates,https://upload.wikimedia.org/wikipedia/en/thumb/e/e1/Seton_Hall_Pirates_logo.svg/250px-Seton_Hall_Pirates_logo.svg.png,,Owen T. Carroll Field,"Prudential Center (men’s)
Walsh Gymnasium (men’s and women’s)","Mike Sheppard, Sr. Field",Owen T. Carroll Field,,Richard J. Codey Arena,,"['#0060A9', '#FFFFFF']"
Siena University,Siena,Saints,Loudonville,NY,Private,Non-football,Metro Atlantic Athletic Conference,https://en.wikipedia.org/wiki/Siena_Saints,https://upload.wikimedia.org/wikipedia/en/thumb/9/91/Siena_Saints_New_Logo.png/250px-Siena_Saints_New_Logo.png,,Connors Park,MVP Arena,,,,,,"['#FCC917', '#006B54']"
South Carolina State University,South Carolina State,Bulldogs[h],Orangeburg,SC,Public,FCS,Mid-Eastern Athletic Conference,https://en.wikipedia.org/wiki/South_Carolina_State_Bulldogs_and_Lady_Bulldogs,https://upload.wikimedia.org/wikipedia/en/thumb/a/ac/South_Carolina_State_Bulldogs_logo.svg/120px-South_Carolina_State_Bulldogs_logo.svg.png,Oliver C. Dawson Stadium,,SHM Memorial Center,Lady Bulldog Softball Field,Oliver C. Dawson Stadium,Dukes Gymnasium,,,"['#084897', '#900028']"
South Dakota State University,South Dakota State,Jackrabbits,Brookings,SD,Public,FCS,Summit League[FB 13],https://en.wikipedia.org/wiki/South_Dakota_State_Jackrabbits,https://upload.wikimedia.org/wikipedia/en/thumb/2/25/South_Dakota_State_Jackrabbits_logo.svg/250px-South_Dakota_State_Jackrabbits_logo.svg.png,Dana J. Dykhouse Stadium,Erv Huether Field,First Bank and Trust Arena,,,,,,"['#FFD100', '#0032A0']"
Southeast Missouri State University,SEMO[N 9],Redhawks,Cape Girardeau,MO,Public,FCS,Ohio Valley Conference,https://en.wikipedia.org/wiki/Southeast_Missouri_State_Redhawks,https://upload.wikimedia.org/wikipedia/en/thumb/b/bb/Southeast_Missouri_State_Redhawks_logo.svg/250px-Southeast_Missouri_State_Redhawks_logo.svg.png,Houck Stadium,Capaha Field,Show Me Center,Southeast Softball Comnplex,Houck Stadium,,,,"['#CE1126', '#000000']"
Southeastern Louisiana University,Southeastern Louisiana,Lions[ap],Hammond,LA,Public,FCS,Southland Conference,https://en.wikipedia.org/wiki/Southeastern_Louisiana_Lions_and_Lady_Lions,https://upload.wikimedia.org/wikipedia/en/thumb/3/33/Southeastern_Louisiana_Lions_logo.svg/250px-Southeastern_Louisiana_Lions_logo.svg.png,Strawberry Stadium,Pat Kenelly Diamond at Alumni Field,University Center,North Oak Park,Southeastern Soccer Complex,,,,"['#215732', '#FFC72C']"
Southern University and A&M College,Southern,Jaguars[aq],Baton Rouge,LA,Public,FCS,Southwestern Athletic Conference,https://en.wikipedia.org/wiki/Southern_Jaguars_and_Lady_Jaguars,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Southern-u_logo_from_NCAA.svg/250px-Southern-u_logo_from_NCAA.svg.png,A. W. Mumford Stadium,Lee–Hines Field,F. G. Clark Center,Lady Jaguar Field,Jaguar Park,,,,"['#69B3E7', '#FFC72C']"
Southern Illinois University Carbondale,Southern Illinois,Salukis,Carbondale,IL,Public,FCS,Missouri Valley Conference[FB 9],https://en.wikipedia.org/wiki/Southern_Illinois_Salukis,https://upload.wikimedia.org/wikipedia/en/thumb/9/9f/Southern_Illinois_Salukis_logo.svg/250px-Southern_Illinois_Salukis_logo.svg.png,Saluki Stadium,,Banterra Center,,,,,,"['#72253D', '#FFFFFF']"
Southern Illinois University Edwardsville,SIUE[N 10],Cougars,Edwardsville,IL,Public,Non-football,Ohio Valley Conference,https://en.wikipedia.org/wiki/SIU_Edwardsville_Cougars,https://upload.wikimedia.org/wikipedia/en/thumb/6/6e/SIU_cougars_logo_2023.png/250px-SIU_cougars_logo_2023.png,,Roy E. Lee Field at Simmons Baseball Complex,Vadalabene Center,Cougar Field,Ralph Korte Stadium,,,,"['#FFFFFF', '#D81E05']"
Southern Methodist University,SMU,Mustangs,Dallas[L 16],TX,Private,FBS,Atlantic Coast Conference,https://en.wikipedia.org/wiki/SMU_Mustangs,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/SMU_Mustang_logo.svg/250px-SMU_Mustang_logo.svg.png,Gerald J. Ford Stadium,,Moody Coliseum,,Westcott Field,,,,"['#CC0035', '#354CA1']"
Southern Utah University,Southern Utah,Thunderbirds,Cedar City,UT,Public,FCS,Western Athletic Conference[FB 1][C 9],https://en.wikipedia.org/wiki/Southern_Utah_Thunderbirds,https://upload.wikimedia.org/wikipedia/en/thumb/e/e7/Southern_Utah_Thunderbirds_logo.svg/250px-Southern_Utah_Thunderbirds_logo.svg.png,Eccles Coliseum,,America First Event Center,,Thunderbird Park Complex,,,,"['#E91D2D', '#FFFFFF']"
State University of Iowa[N 11],Iowa,Hawkeyes,Iowa City,IA,Public,FBS,Big Ten Conference,https://en.wikipedia.org/wiki/Iowa_Hawkeyes,https://upload.wikimedia.org/wikipedia/en/thumb/7/7b/Iowa_Hawkeyes_logo.svg/250px-Iowa_Hawkeyes_logo.svg.png,Kinnick Stadium,Duane Banks Field,,,,,,"{'Arena': 'Carver-Hawkeye Arena', 'Wrestling arena': 'Carver Hawkeye Arena'}","['#000000', '#FCD116']"
State University of New York at Albany[N 12],Albany[N 13],Great Danes,Albany,NY,Public,FCS,America East Conference[FB 3],https://en.wikipedia.org/wiki/Albany_Great_Danes,https://upload.wikimedia.org/wikipedia/en/thumb/c/c7/UAlbany_Great_Danes_logo.svg/120px-UAlbany_Great_Danes_logo.svg.png,Bob Ford Field at Tom & Mary Casey Stadium,Varsity Field,Broadview Center,,Bob Ford Field at Tom & Mary Casey Stadium,,,{'Lacrosse stadium': 'Bob Ford Field at Tom & Mary Casey Stadium'},"['#EEB211', '#46166B']"
State University of New York at Binghamton[N 14],Binghamton,Bearcats,Binghamton[L 17],NY,Public,Non-football,America East Conference,https://en.wikipedia.org/wiki/Binghamton_Bearcats,https://upload.wikimedia.org/wikipedia/en/thumb/d/d8/Binghamton_Bearcats_logo.svg/250px-Binghamton_Bearcats_logo.svg.png,,,Binghamton University Events Center,,,,,,"['#005A43', '#000000', '#FFFFFF']"
State University of New York at Buffalo[N 15],Buffalo,Bulls,Buffalo[L 18],NY,Public,FBS,Mid-American Conference,https://en.wikipedia.org/wiki/Buffalo_Bulls,https://upload.wikimedia.org/wikipedia/en/thumb/5/5e/Buffalo_Bulls_Athletic_Logo.svg/250px-Buffalo_Bulls_Athletic_Logo.svg.png,"Broadview Stadium (football, soccer)",,Broadview Arena,,,,,,"['#005BBB', '#FFFFFF']"
State University of New York at Stony Brook[N 16],Stony Brook,Seawolves,Stony Brook,NY,Public,FCS,Coastal Athletic Association[FB 6],https://en.wikipedia.org/wiki/Stony_Brook_Seawolves,https://upload.wikimedia.org/wikipedia/en/thumb/3/35/Stony_Brook_Seawolves_logo.svg/250px-Stony_Brook_Seawolves_logo.svg.png,Kenneth P. LaValle Stadium,Joe Nathan Field,Island Federal Credit Union Arena,,,,,,"['#990000', '#9BA1A6', '#16243E']"
Stephen F. Austin State University[N 17],Stephen F. Austin,Lumberjacks[ar],Nacogdoches,TX,Public,FCS,Southland Conference,https://en.wikipedia.org/wiki/Stephen_F._Austin_Lumberjacks_and_Ladyjacks,https://upload.wikimedia.org/wikipedia/en/thumb/a/a3/Stephen_austin_athletics_logo_2020.png/250px-Stephen_austin_athletics_logo_2020.png,Homer Bryce Stadium,Jaycees Field,William R. Johnson Coliseum,SFA Softball Field,SFA Soccer Field,,,,"['#5F259F', '#FFFFFF']"
Stetson University,Stetson,Hatters,DeLand,FL,Private,FCS,Atlantic Sun Conference[FB 1],https://en.wikipedia.org/wiki/Stetson_Hatters,https://upload.wikimedia.org/wikipedia/en/thumb/6/61/Stetson_Hatters_current_logo.svg/250px-Stetson_Hatters_current_logo.svg.png,Spec Martin Memorial Stadium,Melching Field at Conrad Park,J. Ollie Edmunds Center,Patricia Wilson Field,Athletic Training Center,,,,"['#006747', '#FFFFFF']"
Stonehill College,Stonehill,Skyhawks,Easton,MA,Private,FCS,NEC,https://en.wikipedia.org/wiki/Stonehill_Skyhawks,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Stonehill_Skyhawks_logo.svg/250px-Stonehill_Skyhawks_logo.svg.png,W.B. Mason Stadium,Lou Gorman Field,Merkert Gymnasium,"Fr. Gartland, C.S.C. Field",Skyhawk Field,,Bridgewater Ice Arena,,"['#FFFFFF', '#2F2975']"
Syracuse University,Syracuse,Orange,Syracuse,NY,Private,FBS,Atlantic Coast Conference,https://en.wikipedia.org/wiki/Syracuse_Orange,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Syracuse_Orange_logo.svg/120px-Syracuse_Orange_logo.svg.png,JMA Wireless Dome,,"JMA Wireless Dome
Melo Center",Skytop Softball Stadium,SU Soccer Stadium,,"Tennity Ice Skating Pavilion
J.S. Coyne Stadium (Field Hockey)",{'Lacrosse stadium': 'JMA Wireless Dome'},['#FF431B']
Tarleton State University,Tarleton State[N 18],Texans,Stephenville,TX,Public,FCS,Western Athletic Conference[FB 1][C 1],https://en.wikipedia.org/wiki/Tarleton_State_Texans,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Tarleton_TonTexas.svg/250px-Tarleton_TonTexas.svg.png,Memorial Stadium,Cecil Ballow Baseball Complex,EECU Center,Tarleton Softball Complex,,,,,"['#4F2D7F', '#FFFFFF']"
Temple University,Temple,Owls,Philadelphia,PA,Public[O 3],FBS,American Conference,https://en.wikipedia.org/wiki/Temple_Owls,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Temple_T_logo.svg/120px-Temple_T_logo.svg.png,Lincoln Financial Field,,Liacouras Center,,Temple Sports Complex,,,,"['#990033', '#FFFFFF']"
Tennessee State University,Tennessee State,Tigers[v],Nashville,TN,Public,FCS,Ohio Valley Conference,https://en.wikipedia.org/wiki/Tennessee_State_Tigers_and_Lady_Tigers,https://upload.wikimedia.org/wikipedia/en/thumb/d/d3/Tennessee_State_Athletics_logo.svg/250px-Tennessee_State_Athletics_logo.svg.png,Nissan Stadium and Hale Stadium,,Gentry Complex,Tiger Field,,,,,"['#FFFFFF', '#171796']"
Tennessee Technological University[N 19],Tennessee Tech,Golden Eagles,Cookeville,TN,Public,FCS,Ohio Valley Conference[C 10],https://en.wikipedia.org/wiki/Tennessee_Tech_Golden_Eagles,https://upload.wikimedia.org/wikipedia/en/thumb/f/f8/Tennessee_Tech_Golden_Eagles_logo.svg/250px-Tennessee_Tech_Golden_Eagles_logo.svg.png,Tucker Stadium,Bush Stadium at Averitt Express Baseball Complex,Eblen Center,Tech Softball Field,,,,,"['#FFDD00', '#4F2984']"
Texas A&M University,Texas A&M,Aggies,College Station,TX,Public,FBS,Southeastern Conference,https://en.wikipedia.org/wiki/Texas_A%26M_Aggies,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Texas_A%26M_Aggies_Primary_Logo_%282021-Present%29.png/250px-Texas_A%26M_Aggies_Primary_Logo_%282021-Present%29.png,Kyle Field,Olsen Field at Blue Bell Park,Reed Arena,Davis Diamond,Ellis Field,Reed Arena,,,"['#500000', '#FFFFFF']"
Texas A&M University–Corpus Christi,Texas A&M–Corpus Christi,Islanders,Corpus Christi,TX,Public,Non-football,Southland Conference,https://en.wikipedia.org/wiki/Texas_A%26M%E2%80%93Corpus_Christi_Islanders,https://upload.wikimedia.org/wikipedia/en/thumb/e/eb/Texas_A%26M%E2%80%93Corpus_Christi_Islanders_logo.svg/250px-Texas_A%26M%E2%80%93Corpus_Christi_Islanders_logo.svg.png,,"Chapman Field
Whataburger Field","American Bank Center
Dugan Wellness Center",Chapman Field (softball),Dr. Jack Dugan Family Soccer & Track Stadium,,,,"['#007F3E', '#0067C5', '#FFFFFF']"
Texas Christian University,TCU,Horned Frogs,Fort Worth,TX,Private,FBS,Big 12 Conference,https://en.wikipedia.org/wiki/TCU_Horned_Frogs,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/TCU_Horned_Frogs_logo.svg/250px-TCU_Horned_Frogs_logo.svg.png,Amon G. Carter Stadium,Lupton Stadium,Schollmaier Arena,,,,,,"['#4D1979', '#FFFFFF']"
Texas Southern University,Texas Southern,Tigers[v],Houston,TX,Public,FCS,Southwestern Athletic Conference,https://en.wikipedia.org/wiki/Texas_Southern_Tigers,https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Texas_Southern_Tigers_logo.svg/250px-Texas_Southern_Tigers_logo.svg.png,Shell Energy Stadium,MacGregor Park,Health and Physical Education Arena,Memorial Park,Alexander Durley Sports Complex,,,,"['#6F263D', '#A2AAAD']"
Texas State University,Texas State,Bobcats,San Marcos,TX,Public,FBS,Sun Belt Conference[C 3],https://en.wikipedia.org/wiki/Texas_State_Bobcats,https://upload.wikimedia.org/wikipedia/en/thumb/9/97/Texas_State_Bobcats_logo.svg/250px-Texas_State_Bobcats_logo.svg.png,UFCU Stadium,Bobcat Ballpark,Strahan Arena,Bobcat Softball Stadium,Bobcat Soccer Complex,,,,"['#501214', '#6A5638']"
Texas Tech University,Texas Tech,Red Raiders[at],Lubbock,TX,Public,FBS,Big 12 Conference,https://en.wikipedia.org/wiki/Texas_Tech_Red_Raiders,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Texas_Tech_Athletics_logo.svg/250px-Texas_Tech_Athletics_logo.svg.png,Jones AT&T Stadium,Dan Law Field at Rip Griffin Park,United Supermarkets Arena,,John Walker Soccer Complex,,,,"['#E90802', '#000000']"
"The Citadel, The Military College of South Carolina[be]",The Citadel,Bulldogs,Charleston,SC,Public,FCS,Southern Conference,https://en.wikipedia.org/wiki/The_Citadel_Bulldogs,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Citadel_Bulldogs_logo.svg/250px-Citadel_Bulldogs_logo.svg.png,Johnson Hagood Stadium,Joseph P. Riley Jr. Park,McAlister Field House,,WLI Field,,,,"['#7BADD3', '#FFFFFF']"
The College of William and Mary in Virginia,William & Mary,Tribe,Williamsburg,VA,Public,FCS,Coastal Athletic Association[FB 6][FB 15],https://en.wikipedia.org/wiki/William_%26_Mary_Tribe,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/William_%26_Mary_Athletics_logo.svg/250px-William_%26_Mary_Athletics_logo.svg.png,Zable Stadium,Plumeri Park,Kaplan Arena,,Albert–Daly Field,Kaplan Arena,,{'Lacrosse stadium': 'Albert–Daly Field'},"['#F0B323', '#D0D3D4', '#115740']"
The George Washington University,George Washington,Revolutionaries,Washington,DC,Private,Non-football,Atlantic 10 Conference,https://en.wikipedia.org/wiki/George_Washington_Revolutionaries,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/George_Washington_Athletics_logo.svg/250px-George_Washington_Athletics_logo.svg.png,,Barcroft Park,Charles E. Smith Center,Mount Vernon Athletic Fields,Mount Vernon Athletic Fields,,,,"['#E4CF9F', '#002D62']"
The Ohio State University,Ohio State,Buckeyes,Columbus,OH,Public,FBS,Big Ten Conference,https://en.wikipedia.org/wiki/Ohio_State_Buckeyes,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Ohio_State_Buckeyes_logo.svg/250px-Ohio_State_Buckeyes_logo.svg.png,Ohio Stadium,Bill Davis Stadium,Value City Arena,,,,,,"['#BA0C2F', '#A7B1B7']"
The Ohio University,Ohio,Bobcats,Athens,OH,Public,FBS,Mid-American Conference,https://en.wikipedia.org/wiki/Ohio_Bobcats,https://upload.wikimedia.org/wikipedia/en/thumb/7/78/Ohio_Bobcats_logo.svg/250px-Ohio_Bobcats_logo.svg.png,Peden Stadium,,Convocation Center,,,,,,"['#FFFFFF', '#154734']"
The Pennsylvania State University,Penn State,Nittany Lions[ap],University Park[L 19],PA,Public[O 3],FBS,Big Ten Conference,https://en.wikipedia.org/wiki/Penn_State_Nittany_Lions,https://upload.wikimedia.org/wikipedia/en/thumb/3/3a/Penn_State_Nittany_Lions_logo.svg/250px-Penn_State_Nittany_Lions_logo.svg.png,Beaver Stadium,Medlar Field at Lubrano Park,Bryce Jordan Center,Nittany Lion Softball Park,Jeffrey Field,,Pegula Ice Arena,{'Lacrosse stadium': 'Panzer Stadium'},"['#FFFFFF', '#001E44']"
The University of Akron,Akron,Zips,Akron,OH,Public,FBS,Mid-American Conference,https://en.wikipedia.org/wiki/Akron_Zips,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Akron_Zips_logo_2022.svg/250px-Akron_Zips_logo_2022.svg.png,InfoCision Stadium-Summa Field,,,,,,,{'Arena': 'James A. Rhodes Arena'},"['#041E42', '#A89968']"
The University of Alabama,Alabama,Crimson Tide,Tuscaloosa,AL,Public,FBS,Southeastern Conference,https://en.wikipedia.org/wiki/Alabama_Crimson_Tide,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Alabama_Athletics_logo.svg/250px-Alabama_Athletics_logo.svg.png,Saban Field at Bryant–Denny Stadium,Sewell–Thomas Stadium,Coleman Coliseum,Rhoads Stadium,Alabama Soccer Stadium,Foster Auditorium,,,"['#FFFFFF', '#B30838']"
The University of Mississippi,Ole Miss,Rebels,University,MS,Public,FBS,Southeastern Conference,https://en.wikipedia.org/wiki/Ole_Miss_Rebels,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Ole-miss_logo_from_NCAA.svg/250px-Ole-miss_logo_from_NCAA.svg.png,Vaught–Hemingway Stadium,Oxford-University Stadium at Swayze Field,The Sandy and John Black Pavilion,Ole Miss Softball Complex,,,,,"['#CE1126', '#14213D']"
The University of New Mexico,New Mexico,Lobos,Albuquerque,NM,Public,FBS,Mountain West Conference,https://en.wikipedia.org/wiki/New_Mexico_Lobos,https://upload.wikimedia.org/wikipedia/en/thumb/4/45/New_Mexico_Lobos_logo.svg/250px-New_Mexico_Lobos_logo.svg.png,University Stadium,Santa Ana Star Field,The Pit,Lobo Softball Field,Great Friends of UNM Track Stadium/UNM Soccer Complex[1][2],,,,"['#A7A8AA', '#BA0C2F', '#FFFFFF']"
The University of Tennessee at Chattanooga,Chattanooga,Mocs,Chattanooga,TN,Public,FCS,Southern Conference,https://en.wikipedia.org/wiki/Chattanooga_Mocs,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Chattanooga_Mocs_logo.svg/250px-Chattanooga_Mocs_logo.svg.png,"Finley Stadium (football, soccer)",,McKenzie Arena,,,Maclellan Gymnasium,,,"['#ADAFAA', '#E0AA0F', '#00386B']"
The University of Tennessee at Martin,UT Martin,Skyhawks,Martin,TN,Public,FCS,Ohio Valley Conference,https://en.wikipedia.org/wiki/UT_Martin_Skyhawks,https://upload.wikimedia.org/wikipedia/en/thumb/2/2c/UT_Martin_Skyhawks_logo.svg/250px-UT_Martin_Skyhawks_logo.svg.png,Hardy M. Graham Stadium,Skyhawk Baseball Field,Kathleen and Tom Elam Center,Bettye Giles Softball Field,,,,,"['#F58220', '#0D223F', '#FFFFFF']"
"The University of Tennessee, Knoxville",Tennessee,Volunteers[as],Knoxville,TN,Public,FBS,Southeastern Conference,https://en.wikipedia.org/wiki/Tennessee_Volunteers,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Tennessee_Volunteers_logo.svg/250px-Tennessee_Volunteers_logo.svg.png,Neyland Stadium,Lindsey Nelson Stadium,Thompson-Boling Arena,Sherri Parker Lee Stadium,Regal Soccer Stadium,Thompson-Boling Arena,,,"['#FF8200', '#000000', '#FFFFFF', '#4B4B4B']"
The University of Texas at Arlington,UT Arlington,Mavericks,Arlington,TX,Public,Non-football,Western Athletic Conference[C 1],https://en.wikipedia.org/wiki/UT_Arlington_Mavericks,https://upload.wikimedia.org/wikipedia/en/thumb/3/35/UT_Arlington_Mavericks_logo.svg/250px-UT_Arlington_Mavericks_logo.svg.png,,Clay Gould Ballpark,College Park Center,Allan Saxe Field,,,,,"['#F58025', '#0064B1', '#FFFFFF']"
The University of Texas at Austin,Texas,Longhorns,Austin,TX,Public,FBS,Southeastern Conference,https://en.wikipedia.org/wiki/Texas_Longhorns,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Texas_Longhorns_logo.svg/250px-Texas_Longhorns_logo.svg.png,Darrell K Royal–Texas Memorial Stadium,Disch-Falk Field,Moody Center,Red and Charline McCombs Field,Mike A. Myers Stadium,Gregory Gymnasium,,,"['#BF5700', '#FFFFFF']"
The University of Texas at El Paso,UTEP,Miners,El Paso,TX,Public,FBS,Conference USA[C 11],https://en.wikipedia.org/wiki/UTEP_Miners,https://upload.wikimedia.org/wikipedia/en/thumb/0/06/UTEP_Miners_logo.svg/250px-UTEP_Miners_logo.svg.png,Sun Bowl,,Don Haskins Center,Helen of Troy Softball Complex,University Field,,,,"['#FF8200', '#041E42', '#B1B3B3']"
The University of Texas Rio Grande Valley,UTRGV[N 20],Vaqueros,Edinburg[L 20],TX,Public,FCS,Southland Conference,https://en.wikipedia.org/wiki/UT_Rio_Grande_Valley_Vaqueros,https://upload.wikimedia.org/wikipedia/en/thumb/f/f6/UTRGV_Athletics_logo.svg/250px-UTRGV_Athletics_logo.svg.png,Robert and Janet Vackar Stadium (Starting in 2025),UTRGV Baseball Stadium,UTRGV Fieldhouse,,UTRGV Soccer and Track & Field Complex,,,,"['#646469', '#F05023']"
The University of Texas at San Antonio,UTSA,Roadrunners,San Antonio,TX,Public,FBS,American Conference,https://en.wikipedia.org/wiki/UTSA_Roadrunners,https://upload.wikimedia.org/wikipedia/en/thumb/1/1b/UTSA_Athletics_logo.svg/250px-UTSA_Athletics_logo.svg.png,Alamodome,Roadrunner Field,Convocation Center,,,,,,"['#0B2240', '#FFFFFF', '#E14504']"
The University of Tulsa,Tulsa,Golden Hurricane,Tulsa,OK,Private,FBS,American Conference,https://en.wikipedia.org/wiki/Tulsa_Golden_Hurricane,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Tulsa_Golden_Hurricane_logo.svg/250px-Tulsa_Golden_Hurricane_logo.svg.png,"Skelly Field at H. A. Chapman Stadium (30,000)",,Reynolds Center,,,,,,"['#CE0E2D', '#D0B787', '#003595']"
The University of Vermont and State Agricultural College,Vermont,Catamounts,Burlington,VT,Public,Non-football,America East Conference,https://en.wikipedia.org/wiki/Vermont_Catamounts,https://upload.wikimedia.org/wikipedia/en/thumb/3/34/Vermont_Catamounts_logo.svg/250px-Vermont_Catamounts_logo.svg.png,,,Patrick Gym,,Virtue Field,,,{'Lacrosse stadium': 'Virtue Field'},"['#FFC20E', '#005710']"
Towson University,Towson,Tigers,Towson,MD,Public,FCS,Coastal Athletic Association[FB 6],https://en.wikipedia.org/wiki/Towson_Tigers,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/Towson_Tigers_logo.svg/250px-Towson_Tigers_logo.svg.png,Johnny Unitas Stadium,John B. Schuerholz Park,SECU Arena,,,,,,"['#FFBB00', '#000000']"
Troy University,Troy,Trojans,Troy,AL,Public,FBS,Sun Belt Conference,https://en.wikipedia.org/wiki/Troy_Trojans,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Troy_Trojans_logo.svg/250px-Troy_Trojans_logo.svg.png,Veterans Memorial Stadium,Riddle-Pace Field,Trojan Arena,Troy Softball Complex,Colley Track/Soccer Complex,,,,"['#999999', '#000000', '#98002E']"
Tulane University of Louisiana,Tulane,Green Wave,New Orleans,LA,Private,FBS,American Conference,https://en.wikipedia.org/wiki/Tulane_Green_Wave,https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Tulane_Green_Wave_logo.svg/250px-Tulane_Green_Wave_logo.svg.png,Yulman Stadium,Greer Field at Turchin Stadium,Avron B. Fogelman Arena in Devlin Fieldhouse,,,,,,"['#3A8DDE', '#006548']"
United States Air Force Academy,Air Force,Falcons,USAF Academy[L 21],CO,Federal,FBS,Mountain West Conference,https://en.wikipedia.org/wiki/Air_Force_Falcons,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Air_Force_Falcons_logo.svg/120px-Air_Force_Falcons_logo.svg.png,Falcon Stadium,Erdle Field,,,,,Cadet Ice Arena,{'Arena': 'Clune Arena'},"['#FFFFFF', '#B2B4B2', '#003594']"
United States Military Academy,Army / Army West Point[N 21],Black Knights,West Point,NY,Federal,FBS,Patriot League[FB 16],https://en.wikipedia.org/wiki/Army_Black_Knights,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Army_West_Point_logo.svg/250px-Army_West_Point_logo.svg.png,Michie Stadium,Johnson Stadium at Doubleday Field,Christl Arena,,,,,,"['#D3BC8D', '#B1B3B3', '#2C2A29']"
United States Naval Academy,Navy,Midshipmen,Annapolis,MD,Federal,FBS,Patriot League[FB 16],https://en.wikipedia.org/wiki/Navy_Midshipmen,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Navy_Athletics_logo.svg/250px-Navy_Athletics_logo.svg.png,Navy–Marine Corps Memorial Stadium,Terwilliger Brothers Field at Max Bishop Stadium,Alumni Hall,,,,,,"['#00225B', '#B5A67C']"
University of Alabama at Birmingham,UAB,Blazers,Birmingham,AL,Public,FBS,American Conference,https://en.wikipedia.org/wiki/UAB_Blazers,https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/UAB_Logo_transparent_square.png/250px-UAB_Logo_transparent_square.png,Protective Stadium,Regions Field / Young Memorial Field,Bartow Arena,,PNC Field,,,,"['#FDB913', '#1A5632']"
University of Arizona,Arizona,Wildcats,Tucson,AZ,Public,FBS,Big 12 Conference,https://en.wikipedia.org/wiki/Arizona_Wildcats,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Arizona_Wildcats_logo.svg/250px-Arizona_Wildcats_logo.svg.png,Casino Del Sol Stadium,Hi Corbett Field,McKale Center,,,,,,"['#AB0520', '#0C234B']"
University of Arkansas,Arkansas,Razorbacks,Fayetteville,AR,Public,FBS,Southeastern Conference,https://en.wikipedia.org/wiki/Arkansas_Razorbacks,https://upload.wikimedia.org/wikipedia/en/thumb/3/30/Arkansas_razorbacks_logo.png/250px-Arkansas_razorbacks_logo.png,"Frank Broyles Field at Donald W. Reynolds Razorback Stadium (primary)
War Memorial Stadium (secondary)",Baum Stadium at George Cole Field,Nolan Richardson Court at Bud Walton Arena,Bogle Park,,Barnhill Arena,,,"['#FFFFFF', '#A41F35']"
University of Arkansas at Little Rock,Little Rock,Trojans,Little Rock,AR,Public,Non-football,Ohio Valley Conference[C 2],https://en.wikipedia.org/wiki/Little_Rock_Trojans,https://upload.wikimedia.org/wikipedia/en/thumb/d/d0/Little_Rock_Trojans_logo.svg/250px-Little_Rock_Trojans_logo.svg.png,,Gary Hogan Field,,,Coleman Sports & Recreation Complex,,,{'Arena': 'Jack Stephens Center'},"['#6E2639', '#A7A9AC', '#FFFFFF']"
