col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,photo_url,jersey_number,hometown,nationality,nba_status
Kordrick Turner,F,6-7,240,Northwestern State,Jr,-,Sulphur Springs (TX),N/A,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/230636.png,10.0,"Sulphur Springs, Texas",United States,Draft Eligible in 2027
Mekhi Turner,F,6-8,215,Tennessee Tech,So,-,Atlanta (GA),Maynard H. Jackson High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Turner_Mekhi_ken24.jpg,4.0,"Atlanta, Georgia",United States,Draft Eligible in 2028
Nehemiah Turner,C,6-10,265,Minnesota,So,-,Auburndale (FL),Auburndale High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Turner_Nehemiah_cark24.jpg,4.0,"Auburndale, Florida",United States,Draft Eligible in 2028
Preston Turner,F,6-6,185,Eastern Illinois,Jr,-,Ellsinore (MO),East Carter High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/202632.png,10.0,"Ellsinore, Missouri",United States,Draft Eligible in 2027
Thomas Tut,F,6-10,210,Jacksonville State,Sr,-,Juba,Neumann-Goretti High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Tut_Thomasruot_sp22.jpg,42.0,"Juba, South Sudan",South Sudan,Draft Eligible in 2026
Ridvan Tutic,C,6-10,230,Stonehill,Jr,-,Novi Pazar,N/A,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Tutic_Ridvan_unh22.jpg,11.0,"Novi Pazar, Serbia",Serbia,Draft Eligible in 2027
Ben Tweedy,G,6-2,N/A,Colgate,So,-,Southport (QLD),The Southport School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Tweedy_Ben_gb24.jpg,6.0,"Southport, Australia",Australia,Draft Eligible in 2028
Cam Tweedy,F,6-6,240,St. Francis (PA),Sr,-,Waldorf (MD),Westlake High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Tweedy_Cameron_fdu22.jpg,20.0,"Waldorf, Maryland",United States,Draft Eligible in 2026
Jayden Tyler,G,5-10,160,Wofford,Fr,-,Chicago (IL),Homewood-Flossmoor High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Tyler_Jaden_wof25.jpg,8.0,"Chicago, Illinois",United States,Draft Eligible in 2029
Mikkel Tyne,PG,5-10,180,Richmond,Jr,"May 2, 2005",Toronto (ON),Montverde Academy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Tyne_Mikkel_rich24.jpg,1.0,"Toronto, Canada",Canada,Draft Eligible in 2027
Cade Tyson,GF,6-7,200,Minnesota,Sr,"Aug 11, 2003",Monroe (NC),Carmel Christian School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Tyson_Cade_bel22.jpg,10.0,"Monroe, North Carolina",United States,Draft Eligible in 2026
Chris Ubochi,C,6-9,220,Pennsylvania,Sr,-,Lagos,Mater Dei Catholic High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Ubochi_Chris_penn22.jpg,34.0,"Lagos, Nigeria",Nigeria,Draft Eligible in 2026
Etim Ubong Abasi,FC,6-9,230,Southeastern Louisiana,Sr,-,Richmond (CA),North Little Rock High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Etim_Ubong_bg21.jpg,6.0,"Richmond, California",United States,Draft Eligible in 2026
Adrian Uchidiuno,GF,6-2,170,Brown,Jr,-,Markham (ON),Cushing Academy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Uchidiuno_Adrian_br24.jpg,5.0,"Markham, Canada",Canada,Draft Eligible in 2027
"Ernest Udeh, Jr.",C,6-11,260,Miami (FL),Sr,"Jan 8, 2004",Orlando (FL),Dr. Phillips High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Udeh_Ernest_ku22.jpg,8.0,"Orlando, Florida",United States,Draft Eligible in 2026
Allen Udemadu,PF,6-10,235,Jacksonville,Sr,-,Lagos,SPIRE Sports Academy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Udemadu_Allen_mor24.jpg,14.0,"Lagos, Nigeria",Nigeria,Draft Eligible in 2026
Greyson Uelmen,G,6-2,185,North Dakota,Fr,-,Excelsior (MN),Minnetonka High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Uelmen_Greyson_und24.jpg,3.0,"Excelsior, Minnesota",United States,Draft Eligible in 2029
Ifeanyi Ufochukwu,C,6-11,240,Duke,Sr,-,Benin City,Covenant Day School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Ufochukwk_Ifeanyi_rice22.jpg,15.0,"Benin City, Nigeria",Nigeria,Draft Eligible in 2026
Emmanuel Ugbo,F,6-8,235,Washington State,Jr,"Apr 14, 2003",Barendrecht,N/A,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Ugbo_Emmanuel_bsu24.jpg,0.0,"Barendrecht, Netherlands",Netherlands / Nigeria,Draft Eligible in 2027
Divine Ugochukwu,G,6-3,190,Michigan State,So,-,Sugar Land (TX),Clements High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Ugochukwu_Divine_mia24.jpg,99.0,"Sugar Land, Texas",United States,Draft Eligible in 2028
Morris Ugusuk,G,6-4,170,West Virginia,Jr,"Nov 5, 2004",Helsinki,N/A,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Ugusuk_Morris_sc23.jpg,23.0,"Helsinki, Finland",Finland,Draft Eligible in 2027
K.C. Ugwuakazi,F,6-8,230,Merrimack College,Jr,-,Boston (MA),Malden Catholic High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Ugwuakazi_KC_txamc24.jpg,23.0,"Boston, Massachusetts",United States,Draft Eligible in 2027
Will Underwood,G,6-3,180,Wake Forest,Jr,-,Mahtomedi (MN),Mahtomedi High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Underwood_Will_wf23.jpg,4.0,"Mahtomedi, Minnesota",United States,Draft Eligible in 2027
Kade Unseld,G,6-5,202,Western Kentucky,Fr,-,Bowling Green (KY),Warren Central High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Unseld_Kade_wku24.jpg,6.0,"Bowling Green, Kentucky",United States,Draft Eligible in 2029
Andrew Urosevic,G,6-3,190,Lehigh,Fr,"May 15, 2006",Kitchener (ON),Northfield Mount Hermon School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/206087.png,0.0,"Kitchener, Canada",Canada,Draft Eligible in 2029
Nsikan Usen,F,6-6,200,Central Michigan,Fr,-,Milford (MI),Lakeland High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Usen_Nsikan_smich25.jpg,1.0,"Milford, Michigan",United States,Draft Eligible in 2029
Trey Utter,G,6-1,175,Southern Methodist,Sr,-,Argyle (TX),Argyle High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Utter_Trey_smu22.jpg,31.0,"Argyle, Texas",United States,Draft Eligible in 2026
Milos Uzan,G,6-4,190,Houston,Sr,"Dec 26, 2002",Las Vegas (NV),Desert Pines High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Uzan_Milos_ou22.jpg,7.0,"Las Vegas, Nevada",United States,Draft Eligible in 2026
Lucas Atauri,GF,6-5,205,Cincinnati,Fr,"May 5, 2004",Campinas,N/A,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/player_photo.jpg,14.0,"Campinas, Brazil",Brazil,Draft Eligible in 2029
Stefan Vaaks,G,6-6,190,Providence,Fr,"May 8, 2005",Tabasalu,N/A,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/218516.png,7.0,"Tabasalu, Estonia",Estonia,Draft Eligible in 2029
Robert Vaihola,F,6-8,260,Minnesota,Sr,-,San Francisco (CA),Archbishop Riordan High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Vaihola_Robert_fres21.jpg,22.0,"San Francisco, California",United States,Draft Eligible in 2026
Victor Valdes,F,6-7,235,Troy,Jr,"Jun 18, 2004",Monterrey,N/A,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Valdes_Victor_troy24.jpg,11.0,"Monterrey, Mexico",Mexico,Draft Eligible in 2027
Levi Valdo,GF,6-4,215,Northern Iowa,Fr,-,N/A,N/A,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Valdo_Levi_uni25.jpg,9.0,,Cameroon,Draft Eligible in 2029
Jaret Valencia,F,6-8,189,Wichita State,Jr,-,Quibdo,Legacy the School of Sport Sciences,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Valencia_Jaret_mon22.jpg,2.0,"Quibdo, Colombia",Colombia,Draft Eligible in 2027
Ace Valentine,G,6-3,190,UMBC,Jr,-,Baltimore (MD),Mount Saint Joseph College,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Valentine_Ace_mdbc24.jpg,1.0,"Baltimore, Maryland",United States,Draft Eligible in 2027
Makhai Valentine,G,6-2,185,Northern Illinois,So,"Jun 28, 2005",Pittsburgh (PA),Link Academy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Valentine_Makhai_most24.jpg,1.0,"Pittsburgh, Pennsylvania",United States,Draft Eligible in 2028
Tomas Valentiny,SF,6-6,201,Stony Brook,Fr,"Oct 18, 2005",Zilina,Get Better Academy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/218566.png,21.0,"Zilina, Czech Republic",Czech Republic / Slovakia,Draft Eligible in 2029
Jo Valrie,GF,6-5,180,SIU-Edwardsville,Sr,-,Houston (TX),N/A,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Valrie_Jo_siue24.jpg,33.0,"Houston, Texas",United States,Draft Eligible in 2026
Jo Van Buggenhout,G,6-2,N/A,Indiana State,Jr,"Jun 6, 2003",Brussels,N/A,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Vanbuggenhout_Jo_23.jpg,6.0,"Brussels, Belgium",Belgium,Draft Eligible in 2027
Stef Van Bussel,C,6-10,255,Duquesne,So,"Jun 18, 2004",Ommen,N/A,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Vanbussel_Stef_stl24.jpg,18.0,"Ommen, Netherlands",Netherlands,Draft Eligible in 2028
Caleb Van De Griend,F,6-8,250,Idaho State,Sr,-,Bridgetown,Australian Christian College,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Vandegriend_Caleb_isu25.jpg,24.0,"Bridgetown, Australia",Australia,Draft Eligible in 2026
"Sean Van Dorn, Jr.",F,6-6,196,Georgia Southern,Fr,-,Fayetteville (GA),Tri-Cites High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Vandorn_Sean_gs25.jpg,10.0,"Fayetteville, Georgia",United States,Draft Eligible in 2029
Leonardo Van Elswyk,C,7-1,220,Colorado,Fr,"Feb 25, 2006",N/A,N/A,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Vanelswyk_Leonardo_24.jpg,33.0,,Italy,Draft Eligible in 2029
Keegan Van Kauwenberg,G,6-3,N/A,Green Bay,Fr,-,Kaukauna (WI),Kaukauna High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Vankauwenberg_Keegan_gb25.jpg,3.0,"Kaukauna, Wisconsin",United States,Draft Eligible in 2029
Matt Van Komen,C,7-4,260,Marshall,Sr,-,Lehi (UT),Pleasant Grove High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Vankomen_Matt_ut19.jpg,13.0,"Lehi, Utah",United States,Draft Eligible in 2026
Michael Van Raaphorst,G,6-2,218,Georgetown,So,-,Chatham Township (NJ),Delbarton School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/VanRaaphorst_Michael_gu24.jpg,30.0,"Chatham Township, New Jersey",United States,Draft Eligible in 2028
Timoty Van der Knaap,F,6-8,195,Bradley,So,"May 10, 2005",Bassano Del Grappa,N/A,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/VanderKnaap_Timoty_brad24.jpg,10.0,"Bassano Del Grappa, Italy",Italy,Draft Eligible in 2028
Jaden Vance,GF,6-6,180,UC San Diego,Fr,-,Phoenix (AZ),AZ Compass Prep,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/227831.png,13.0,"Phoenix, Arizona",United States,Draft Eligible in 2029
Ben Vander Wal,F,6-7,210,Furman,Sr,-,Elmhurst (IL),Timothy Christian School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Vanderwal_Ben_fur22.jpg,4.0,"Elmhurst, Illinois",United States,Draft Eligible in 2026
Kevon Vanderhorst,G,6-2,180,Drexel,Jr,-,Raleigh (NC),Trinity Academy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/202213.png,3.0,"Raleigh, North Carolina",United States,Draft Eligible in 2027
Kyler Vanderjagt,G,6-4,205,Toledo,Sr,-,Grand Rapids (MI),Northview High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Vanderjagt_Kyler_bel22.jpg,4.0,"Grand Rapids, Michigan",United States,Draft Eligible in 2026
Preston Vandermyde,F,6-5,190,Utah Tech,Jr,-,St. George (UT),Desert Hills High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/236148.png,14.0,"St. George, Utah",United States,Draft Eligible in 2027
Landon Vanderwarker,F,6-6,190,Kent State,Fr,-,Delaware (OH),Northside Christian School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Vanderwarker_Landon_kent25.jpg,7.0,"Delaware, Ohio",United States,Draft Eligible in 2029
Mustafo Vanjov,C,7-0,233,Texas-RGV,Sr,-,Khorog,Orangeville Prep,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Vanjov_Mustafo_utrgv24.jpg,35.0,"Khorog, Tajikistan",Tajikistan,Draft Eligible in 2026
Devin Vanterpool,G,6-4,190,Florida Atlantic,So,"Aug 1, 2005",Laurel (MD),Christ the King,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Vanterpool_Devin_fau24.jpg,22.0,"Laurel, Maryland",United States,Draft Eligible in 2028
Albert Vargas,G,5-10,160,Robert Morris,Sr,-,San Francisco de Macoris,N/A,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/212521.png,20.0,"San Francisco de Macoris, Dominican Republic",Dominican Republic,Draft Eligible in 2026
Alex Vargo,G,6-5,195,North Florida,Sr,-,Wheeling (WV),Wheeling Park High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Vargo_Alex_ys20.jpg,13.0,"Wheeling, West Virginia",United States,Draft Eligible in 2027
Owen Varnado,F,6-5,215,Tennessee Tech,Sr,-,Muskegon (MI),Western Michigan Christian High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Varnado_Owen_ttu25.jpg,24.0,"Muskegon, Michigan",United States,Draft Eligible in 2026
Viljami Vartiainen,F,6-6,195,Weber State,Jr,"Mar 2, 2004",Helsinki,N/A,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Vartiainen_Viljami_web24.jpg,8.0,"Helsinki, Finland",Finland,Draft Eligible in 2027
Guzman Vasilic,F,6-4,200,Cal Poly,So,"Feb 16, 2005",Punta del Este,NBA Academy Latin America,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Vasilic_Guzman_cp24.jpg,5.0,"Punta del Este, Uruguay",Uruguay,Draft Eligible in 2028
Cayden Vasko,F,6-6,195,Wofford,Jr,-,Lowell (IN),Bosco Institute,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Vasko_Cayden_cmu24.jpg,0.0,"Lowell, Indiana",United States,Draft Eligible in 2027
Frankie Vassalluzzo,G,6-0,175,Bryant,So,-,Boca Raton (FL),Pine Crest School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Vassalluzzo_Frankie_bry24.jpg,21.0,"Boca Raton, Florida",United States,Draft Eligible in 2028
Maurice Vassel,F,6-9,160,Maryland-Eastern Shore,So,-,Brooklyn (NY),Saint Benedict's Preparatory School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Vassell_Maurice_mes24.jpg,22.0,"Brooklyn, New York",United States,Draft Eligible in 2028
K.J. Vasser,G,6-1,180,Appalachian State,Jr,-,Chicago (IL),Yorkville High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Vasser_KJ_apst25.jpg,0.0,"Chicago, Illinois",United States,Draft Eligible in 2027
Efe Vatan,PF,6-10,N/A,Oregon,Fr,"Sep 14, 2004",Istanbul,N/A,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Vatan_Efe_or25.jpg,0.0,"Istanbul, Turkey",Turkey,Draft Eligible in 2029
Marcus Vaughns,GF,6-8,221,LSU,Fr,"Nov 28, 2007",Melbourne (VIC),NBA Global Academy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Vaughns_Marcus_aus25.jpg,5.0,"Melbourne, Australia",Australia,Draft Eligible in 2029
Rihards Vavers,F,6-7,195,Washington State,Jr,"Nov 17, 2003",Adazi,N/A,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Vavers_Rihards_quin24.jpg,15.0,"Adazi, Latvia",Latvia,Draft Eligible in 2027
Jalen Vazquez,G,6-3,170,Lehigh,Jr,-,Torrance (CA),Bishop Montgomery High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/148958.png,31.0,"Torrance, California",United States,Draft Eligible in 2027
Henri Veesaar,FC,7-0,225,North Carolina,Jr,"Mar 28, 2004",Tallinn,N/A,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Veesaar_Henri_az22.jpg,13.0,"Tallinn, Estonia",Estonia,Draft Eligible in 2027
Dylan Veillette,F,6-7,230,Merrimack College,Fr,-,Ridgefield (CT),N/A,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Veillette_Dylan_mer25.jpg,0.0,"Ridgefield, Connecticut",United States,Draft Eligible in 2029
Steele Venters,F,6-7,200,Gonzaga,Sr,"May 16, 2001",Ellensburg (WA),Ellensburg High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Venters_Steele_gon24.jpg,2.0,"Ellensburg, Washington",United States,Draft Eligible in 2026
Joseph Venzant,SG,6-2,210,Abilene Christian,Sr,-,Midland (TX),Midland Christian High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Venzant_Joseph_lib21.jpg,23.0,"Midland, Texas",United States,Draft Eligible in 2026
Owen Verna,G,6-3,190,Saint Joseph's,Fr,-,Santa Ana (CA),Mater Dei High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Verna_Owen_sj25.jpg,6.0,"Santa Ana, California",United States,Draft Eligible in 2029
Caleb Versher,G,6-3,N/A,San Diego,Fr,-,Los Angeles (CA),St. Bernard High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/217399.png,15.0,"Los Angeles, California",United States,Draft Eligible in 2029
Dan Vessey,G,6-3,195,Columbia,So,-,Princeton (NJ),Hun School of Princeton,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Vessey_Daniel_rut23.jpg,21.0,"Princeton, New Jersey",United States,Draft Eligible in 2028
Brock Vice,F,6-10,238,Murray State,So,-,Germantown (TN),Houston High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Vice_Brock_cre24.jpg,6.0,"Germantown, Tennessee",United States,Draft Eligible in 2028
Milos Vicentic,F,6-7,200,New Mexico,Sr,"Mar 13, 2001",Belgrade,N/A,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Vicentic_Milos_ucsd24.jpg,31.0,"Belgrade, Serbia",Serbia,Draft Eligible in 2026
Brooklyn Vick,G,6-1,150,North Carolina A&T,Fr,-,Blacksburg (VA),Hargrave Military Academy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/136550.png,7.0,"Blacksburg, Virginia",United States,Draft Eligible in 2029
Joe Vick,F,6-2,195,Valparaiso,Sr,-,Kouts (IN),Kouts High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Vick_Joe_valpo22.jpg,20.0,"Kouts, Indiana",United States,Draft Eligible in 2026
Jordan Vick,G,5-11,160,Jacksonville State,Fr,-,Bailey (NC),Southern Nash High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Vick_Jordan_jaxst5.jpg,8.0,"Bailey, North Carolina",United States,Draft Eligible in 2029
Jan Vide,PG,6-6,210,Loyola Marymount,Jr,"Jan 15, 2005",Domzale,Colegio SEK El Castillo International School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Vide_Jan_22.jpg,7.0,"Domzale, Slovenia",Slovenia,Draft Eligible in 2027
Raul Villar,G,6-3,190,Charlotte,Fr,"Oct 13, 2007",Barcelona,N/A,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/207473.png,44.0,"Barcelona, Spain",Spain,Draft Eligible in 2029
Austin Villarreal,G,6-1,175,Milwaukee,So,-,Pewaukee (WI),Arrowhead High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Villarrea_Austin_mil24.jpg,23.0,"Pewaukee, Wisconsin",United States,Draft Eligible in 2028
Erik Villarreal,G,6-3,190,McNeese State,So,-,Houston (TX),Clear Lake High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Villarreal_Erik_mcn24.jpg,14.0,"Houston, Texas",United States,Draft Eligible in 2028
Christian Villegas,G,6-2,155,New Mexico State,Sr,-,El Paso (TX),Andress High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Villegas_Christian_txamcc24.jpg,12.0,"El Paso, Texas",United States,Draft Eligible in 2026
Jamie Vinson IV,C,6-11,243,Texas A&M,So,-,Austin (TX),Oak Hill Academy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Vinson_Jamie_ut24.jpg,4.0,"Austin, Texas",United States,Draft Eligible in 2028
Ty Virgil,PG,6-6,170,Pepperdine,Fr,-,Sacramento (CA),Sheldon High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Virgil_Ty_pep25.jpg,11.0,"Sacramento, California",United States,Draft Eligible in 2029
Carson Vis,G,6-3,190,Western Michigan,Fr,-,Byron Center (MI),Grand Rapids Christian High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/250723.png,7.0,"Byron Center, Michigan",United States,Draft Eligible in 2029
Liam Vitters,GF,6-5,220,Chattanooga,So,-,Arlington (VA),Kiski School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Vitters_Liam_chat24.jpg,20.0,"Arlington, Virginia",United States,Draft Eligible in 2028
Aleksa Vlajic,FC,6-10,225,Buffalo,Fr,"Apr 4, 2006",Belgrade,Hoosac School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/193908.png,15.0,"Belgrade, Serbia",Serbia,Draft Eligible in 2029
Antoni Vlogianitis,G,6-4,185,Marist,So,-,Garden City (NY),Avon Old Farms High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Vogianitis_Antoni_mar24.jpg,31.0,"Garden City, New York",United States,Draft Eligible in 2028
Matas Vokietaitis,G,7-0,255,Texas,So,"Nov 5, 2004",Kaunas,N/A,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Vokietaitis_Matas_fau24.jpg,8.0,"Kaunas, Lithuania",Lithuania,Draft Eligible in 2028
Derek Vorst,C,6-10,N/A,Indiana State,Jr,-,Rossford (OH),Rossford High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Vorst_Derek_inst24.jpg,35.0,"Rossford, Ohio",United States,Draft Eligible in 2027
Matyas Vrabel,PF,6-10,220,Tarleton State,So,"Dec 6, 2003",Ostrava,N/A,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/139262.png,25.0,"Ostrava, Czech Republic",Czech Republic,Draft Eligible in 2028
Luka Vudragovic,F,6-6,N/A,Pepperdine,So,"Jun 2, 2004",Stari Banovci,N/A,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/179305.png,77.0,"Stari Banovci, Serbia",Serbia,Draft Eligible in 2028
Dimitrije Vukicevic,C,7-0,N/A,UC San Diego,Fr,"May 13, 2005",Belgrade,N/A,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Vukicevic_Dimitrije_wsu24.jpg,33.0,"Belgrade, Serbia",Serbia,Draft Eligible in 2029
Andrija Vukovic,F,7-0,245,Oklahoma State,So,"Jan 18, 2005",Belgrade,N/A,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Vukovic_Andrija_osu24.jpg,19.0,"Belgrade, Serbia",Serbia / Montenegro,Draft Eligible in 2028
Bencao Vungo,GF,6-6,207,Jacksonville State,Jr,"May 16, 2004",Chitato,N/A,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Vungo_Bencao_ecu24.jpg,5.0,"Chitato, Angola",Angola,Draft Eligible in 2027
Evan van der Plas,F,6-5,190,Canisius,So,"Nov 24, 2005",Rosmalen,N/A,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/235152.png,9.0,"Rosmalen, Netherlands",Netherlands,Draft Eligible in 2028
Brian Waddell,F,6-7,195,Bellarmine,Sr,"May 10, 2003",Carmel (IN),Carmel High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Waddell_Brian_pur21.jpg,11.0,"Carmel, Indiana",United States,Draft Eligible in 2026
Lance Waddles,G,6-4,195,Omaha,Sr,-,Shreveport (LA),Evangel Christian Academy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Waddles_Lance_nsdu22.jpg,7.0,"Shreveport, Louisiana",United States,Draft Eligible in 2026
Matar Wade,G,6-8,205,Morgan State,So,"Jul 19, 2005",Dakar,Archbishop John Carroll High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Wade_Matar_mor24.jpg,5.0,"Dakar, Senegal",Senegal,Draft Eligible in 2028
Keaton Wagler,SG,6-6,180,Illinois,Fr,"Feb 3, 2007",Shawnee (KS),Shawnee Mission Northwest High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Wagler_Keaton_il25.jpg,23.0,"Shawnee, Kansas",United States,Draft Eligible in 2029
Camp Wagner,G,6-6,175,Indiana State,Jr,-,Dallas (TX),Link Academy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Wagner_Camp_inst24.jpg,8.0,"Dallas, Texas",United States,Draft Eligible in 2027
D.J. Wagner,G,6-4,195,Arkansas,Jr,"May 4, 2005",Camden (NJ),Camden High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Wagner_DJ_uk23.jpg,21.0,"Camden, New Jersey",United States,Draft Eligible in 2027
Tyler Wagner,G,6-5,175,Austin Peay,Fr,-,Fridley (MN),Champlin Park High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Wagner_Tyler_ap25.jpg,2.0,"Fridley, Minnesota",United States,Draft Eligible in 2029
Mohamed Wague,C,6-10,225,Oklahoma,Sr,-,Bamako,Scotland Campus,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Wague_Mohamed_wvu22.jpg,5.0,"Bamako, Mali",Mali,Draft Eligible in 2026
Akbar Waheed III,F,6-6,205,Boston College,Fr,-,Bethesda (MD),Georgetown Preparatory School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Waheed_Akbar_bc25.jpg,3.0,"Bethesda, Maryland",United States,Draft Eligible in 2029
Jake Wahlin,C,6-10,212,Clemson,Jr,-,Provo (UT),Timpview High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Wahlin_Jake_ut23.jpg,10.0,"Provo, Utah",United States,Draft Eligible in 2027
